1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,file_load_min,message
0.374015299,0.341891046,0.412802419,3968,0.079861111,0.113974232,0.061464458,1871,0.096101986,0.126614987,0.077439747,2531,0.17477707,0.221433183,0.144360269,4752,0.682566094,0.630572161,0.743904896,14889,0.489486273,review_body-bow-df_90-ngram1-112043-52-lda20,review_body-bow-df_90-ngram1-112043-52-lda.csv,0.281464312,0.286897122,0.287994358,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.1,0,success,5/24/19 1:02,28011,20,0.1,84032,20,0,0.45946286,0.440226032,0.489486273,28011,,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-bow-df_90-ngram1-112043-52-lda20,review_body-bow-df_90-ngram1-112043-52-lda.csv,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",6.3,0,success,5/24/19 1:09,28011,20,6.3,84032,20,0,0.368956486,0.282536026,0.53154118,28011,,
0.414703598,0.42629058,0.403729839,3968,0,0,0,1871,0,0,0,2531,0.00084122,0.666666667,0.000420875,4752,0.725670048,0.585608247,0.95379139,14889,0.564242619,review_body-bow-df_90-ngram1-112043-52-lda20,review_body-bow-df_90-ngram1-112043-52-lda.csv,0.228242973,0.335713099,0.271588421,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:09,28011,20,0.1,84032,20,0.1,0.44461257,0.484761066,0.564242619,28011,,
0.392828776,0.357275542,0.436239919,3968,0.080056677,0.118697479,0.06039551,1871,0.098584429,0.136842105,0.077044646,2531,0.188655827,0.229954614,0.15993266,4752,0.683470794,0.632749943,0.743031768,14889,0.494877013,review_body-bow-df_90-ngram12-112043-56-lda20,review_body-bow-df_90-ngram12-112043-56-lda.csv,0.2887193,0.295103937,0.295328901,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.1,0,success,5/24/19 1:09,28011,20,0.1,84032,20,0,0.465200705,0.446248186,0.494877013,28011,,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-bow-df_90-ngram12-112043-56-lda20,review_body-bow-df_90-ngram12-112043-56-lda.csv,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5.8,0,success,5/24/19 1:15,28011,20,5.8,84032,20,0,0.368956486,0.282536026,0.53154118,28011,,
0.424062096,0.435672515,0.413054435,3968,0,0,0,1871,0,0,0,2531,0.000420256,0.142857143,0.000210438,4752,0.728527255,0.58798779,0.957351065,14889,0.567419942,review_body-bow-df_90-ngram12-112043-56-lda20,review_body-bow-df_90-ngram12-112043-56-lda.csv,0.230601921,0.233303489,0.274123188,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:15,28011,20,0.1,84032,20,0.1,0.44738559,0.398491874,0.567419942,28011,,
0.344778761,0.324162414,0.368195565,3968,0.06707984,0.105504587,0.049171566,1871,0.099976531,0.123121387,0.08415646,2531,0.176798379,0.222010178,0.146885522,4752,0.667993996,0.614033112,0.732352744,14889,0.477241084,review_body-tfidf-df_90-ngram11-112043-52-lda20,review_body-tfidf-df_90-ngram11-112043-52-lda.csv,0.271325501,0.277766336,0.276152371,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.1,0,success,5/24/19 1:15,28011,20,0.1,84032,20,0,0.447414859,0.428139914,0.477241084,28011,,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-tfidf-df_90-ngram11-112043-52-lda20,review_body-tfidf-df_90-ngram11-112043-52-lda.csv,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5.6,0,success,5/24/19 1:20,28011,20,5.6,84032,20,0,0.368956486,0.282536026,0.53154118,28011,,
0.314947781,0.446759259,0.243195565,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.711732941,0.560829368,0.973739002,14889,0.55203313,review_body-tfidf-df_90-ngram11-112043-52-lda20,review_body-tfidf-df_90-ngram11-112043-52-lda.csv,0.205336144,0.201517726,0.243386913,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:20,28011,20,0.1,84032,20,0.1,0.42293044,0.361391211,0.55203313,28011,,
0.34722717,0.328317988,0.368447581,3968,0.076974565,0.102954342,0.061464458,1871,0.104072398,0.143054596,0.081785855,2531,0.169602416,0.210888611,0.141835017,4752,0.675253159,0.620069671,0.741218349,14889,0.481739317,review_body-tfidf-df_90-ngram12-112043-56-lda20,review_body-tfidf-df_90-ngram12-112043-56-lda.csv,0.274625942,0.281057041,0.278950252,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.1,0,success,5/24/19 1:21,28011,20,0.1,84032,20,0,0.451430475,0.431681287,0.481739317,28011,,
